ArchiveDate,Adult_Child,Speciality,care_type,0_6_months,6_12_months,12_18_months,18_plus_months,wait_total
1/26/2023,Child,Paediatric Urology,ipdc,180,61,57,90,388
1/26/2023,Child,Paediatrics,ipdc,91,31,9,13,144
1/26/2023,Child,Plastic Surgery,ipdc,218,92,61,59,430
1/26/2023,Child,Rheumatology,ipdc,35,4,4,2,45
1/26/2023,Child,Small Volume Specialties,ipdc,38,15,4,0,57
1/26/2023,Child,Urology,ipdc,236,52,19,22,329
2/23/2023,Adult,Breast Surgery,op,"2,379",5,0,0,"2,384"
2/23/2023,Adult,Cardio-Thoracic Surgery,op,318,59,12,20,409
2/23/2023,Adult,Cardiology,op,"18,477","8,994","3,958","2,306","33,735"
2/23/2023,Adult,Chemical Pathology,op,39,45,28,5,117
2/23/2023,Adult,Clinical (Medical) Genetics,op,"1,023",799,652,505,"2,979"
2/23/2023,Adult,Clinical Immunology,op,"1,217",643,119,7,"1,986"
2/23/2023,Adult,Clinical Neurophysiology,op,719,550,393,349,"2,011"
2/23/2023,Adult,Dermatology,op,"21,751","8,733","3,226","7,092","40,802"
2/23/2023,Adult,Diabetes Mellitus,op,"1,095",472,226,208,"2,001"
2/23/2023,Adult,Endocrinology,op,"7,440","4,740","2,193","4,199","18,572"
2/23/2023,Adult,Gastro-Enterology,op,"9,751","3,306","1,319","1,288","15,664"
2/23/2023,Adult,Gastro-Intestinal Surgery,op,364,97,21,17,499
2/23/2023,Adult,General Medicine,op,"10,571","5,175","2,354","2,438","20,538"
2/23/2023,Adult,General Surgery,op,"25,077","5,996","2,641","2,380","36,094"
2/23/2023,Adult,Geriatric Medicine,op,"3,145",341,91,112,"3,689"
2/23/2023,Adult,Gynaecology,op,"20,150","5,512","1,205","1,523","28,390"
2/23/2023,Adult,Haematology,op,"5,104","2,106",819,"1,206","9,235"
2/23/2023,Adult,Hepato-Biliary Surgery,op,67,32,13,0,112
2/23/2023,Adult,Infectious Diseases,op,"1,380",61,4,0,"1,445"
2/23/2023,Adult,Maxillo-Facial,op,"1,157",448,358,985,"2,948"
2/23/2023,Adult,Metabolic Medicine,op,113,42,14,12,181
2/23/2023,Adult,Microbiology,op,20,0,0,0,20
2/23/2023,Adult,Nephrology,op,"2,216",547,248,378,"3,389"
2/23/2023,Adult,Neurology,op,"9,415","4,979","2,922","6,003","23,319"
2/23/2023,Adult,Neurosurgery,op,"3,602","2,051","1,123","2,223","8,999"
2/23/2023,Adult,Oncology,op,506,4,2,0,513
2/23/2023,Adult,Ophthalmology,op,"15,446","6,585","3,753","7,757","33,541"
2/23/2023,Adult,Oral Surgery,op,531,308,231,"1,202","2,272"
2/23/2023,Adult,Orthopaedics,op,"31,541","18,898","7,434","7,771","65,644"
2/23/2023,Adult,Otolaryngology (ENT),op,"18,521","9,174","4,961","9,967","42,623"
2/23/2023,Adult,Paediatric Dermatology,op,30,11,4,0,46
2/23/2023,Adult,Paediatric ENT,op,7,10,4,0,21
2/23/2023,Adult,Paediatric Neurology,op,13,8,4,0,26
2/23/2023,Adult,Paediatric Surgery,op,4,4,10,2,21
2/23/2023,Adult,Paediatrics,op,89,57,32,6,184
2/23/2023,Adult,Pain Relief,op,"5,163","3,211","1,844","4,219","14,437"
2/23/2023,Adult,Pathology,op,50,43,34,50,177
2/23/2023,Adult,Plastic Surgery,op,"7,285","3,405","1,884","4,629","17,203"
2/23/2023,Adult,Psychiatry,op,463,45,2,2,512
2/23/2023,Adult,Radiology,op,16,4,2,0,23
2/23/2023,Adult,Radiotherapy,op,61,0,0,0,61
2/23/2023,Adult,Respiratory Medicine,op,"10,682","4,633","1,843","2,821","19,979"
2/23/2023,Adult,Rheumatology,op,"7,188","3,392","1,561","3,076","15,217"
2/23/2023,Adult,Small Volume Specialities,op,70,15,7,0,92
2/23/2023,Adult,Urology,op,"12,402","5,431","2,636","4,687","25,156"
2/23/2023,Adult,Vascular Surgery,op,"6,589","3,281","1,611","2,375","13,856"
2/23/2023,Child,Cardio-Thoracic Surgery,op,55,4,4,5,68
2/23/2023,Child,Cardiology,op,37,7,2,15,61
2/23/2023,Child,Clinical (Medical) Genetics,op,401,355,290,229,"1,275"
2/23/2023,Child,Clinical Immunology,op,304,131,79,260,774
2/23/2023,Child,Dental Surgery,op,217,98,44,123,482
2/23/2023,Child,Dermatology,op,"1,331",535,284,688,"2,838"
2/23/2023,Child,Developmental Paediatrics,op,287,262,188,331,"1,068"
2/23/2023,Child,Endocrinology,op,19,4,0,0,23
2/23/2023,Child,General Medicine,op,26,4,2,2,34
2/23/2023,Child,General Surgery,op,840,327,183,201,"1,551"
2/23/2023,Child,Gynaecology,op,490,131,63,2,686
2/23/2023,Child,Haematology,op,74,11,4,0,89
2/23/2023,Child,Immunology,op,218,58,19,57,352
2/23/2023,Child,Maxillo-Facial,op,81,31,37,47,196
2/23/2023,Child,Neurology,op,30,8,4,6,48
2/23/2023,Child,Ophthalmology,op,"2,221",792,393,882,"4,288"
2/23/2023,Child,Oral Surgery,op,121,50,23,29,223
2/23/2023,Child,Orthopaedics,op,"1,503",697,260,383,"2,843"
2/23/2023,Child,Otolaryngology (ENT),op,"4,626","2,153","1,184","1,321","9,284"
2/23/2023,Child,Paed Cardiology,op,"2,165","1,152",771,217,"4,305"
2/23/2023,Child,Paed Endocrinology,op,511,223,79,59,872
2/23/2023,Child,Paed Gastro-Enterol,op,551,159,98,20,828
2/23/2023,Child,Paed Haematology,op,192,46,9,2,249
2/23/2023,Child,Paed Metabolic Medicine,op,55,2,0,0,57
2/23/2023,Child,Paed Nephrology,op,265,126,22,10,423
2/23/2023,Child,Paed Orthopaedic,op,"1,623","1,075",469,693,"3,860"
2/23/2023,Child,Paediatric Dermatology,op,"2,361","1,718",715,"1,985","6,779"
2/23/2023,Child,Paediatric ENT,op,"2,991","1,365",625,"1,640","6,621"
2/23/2023,Child,Paediatric Infectious Diseases,op,54,9,4,0,67
2/23/2023,Child,Paediatric Neurology,op,951,249,68,2,"1,270"
2/23/2023,Child,Paediatric Neurosurgery,op,50,4,2,0,55
2/23/2023,Child,Paediatric Respiratory Medicine,op,693,417,269,637,"2,016"
2/23/2023,Child,Paediatric Surgery,op,"2,315","1,621",589,122,"4,647"
2/23/2023,Child,Paediatric Urology,op,446,320,203,140,"1,109"
2/23/2023,Child,Paediatrics,op,"13,626","5,160","1,495",218,"20,499"
2/23/2023,Child,Pain Relief,op,17,7,2,2,27
2/23/2023,Child,Plastic Surgery,op,768,362,253,283,"1,666"
2/23/2023,Child,Rheumatology,op,291,229,157,628,"1,305"
2/23/2023,Child,Small Volume Specialities,op,84,19,4,2,108
2/23/2023,Child,Urology,op,917,494,284,311,"2,006"
2/23/2023,Child,Vascular Surgery,op,15,8,0,2,25
2/23/2023,Adult,Anaesthetics,ipdc,54,0,0,0,54
2/23/2023,Adult,Breast Surgery,ipdc,112,50,28,33,223
2/23/2023,Adult,Cardio-Thoracic Surgery,ipdc,215,55,20,25,315
2/23/2023,Adult,Cardiology,ipdc,"2,693",581,93,108,"3,475"
2/23/2023,Adult,Clinical Immunology,ipdc,176,86,13,0,275
2/23/2023,Adult,Dental Surgery,ipdc,39,6,4,2,51
2/23/2023,Adult,Dermatology,ipdc,732,125,50,15,922
2/23/2023,Adult,Endocrinology,ipdc,10,4,4,7,25
2/23/2023,Adult,Gastro-Enterology,ipdc,334,80,34,102,550
2/23/2023,Adult,Gastro-Intestinal Surgery,ipdc,310,123,54,160,647
2/23/2023,Adult,General Medicine,ipdc,177,18,19,8,222
2/23/2023,Adult,General Surgery,ipdc,"8,025","2,621","1,100","1,536","13,282"
2/23/2023,Adult,Gynaecology,ipdc,"3,826","1,085",419,415,"5,745"
2/23/2023,Adult,Haematology,ipdc,38,0,0,2,40
2/23/2023,Adult,Hepato-Biliary Surgery,ipdc,20,6,11,8,45
2/23/2023,Adult,Maxillo-Facial,ipdc,786,402,52,198,"1,438"
2/23/2023,Adult,Nephrology,ipdc,30,2,2,0,34
2/23/2023,Adult,Neurology,ipdc,215,67,6,37,325
2/23/2023,Adult,Neurosurgery,ipdc,346,229,53,38,666
2/23/2023,Adult,Oncology,ipdc,57,0,0,0,57
2/23/2023,Adult,Ophthalmology,ipdc,"6,366","2,102",465,632,"9,565"
2/23/2023,Adult,Oral Surgery,ipdc,165,189,92,155,601
2/23/2023,Adult,Orthopaedics,ipdc,"6,173","1,822",617,"1,071","9,683"
2/23/2023,Adult,Otolaryngology (ENT),ipdc,"2,782","1,251",424,460,"4,917"
2/23/2023,Adult,Pain Relief,ipdc,"2,828","1,234",392,473,"4,927"
2/23/2023,Adult,Plastic Surgery,ipdc,"2,974","1,034",515,979,"5,502"
2/23/2023,Adult,Radiology,ipdc,11,2,4,4,21
2/23/2023,Adult,Respiratory Medicine,ipdc,357,188,26,5,576
2/23/2023,Adult,Rheumatology,ipdc,383,107,36,0,526
2/23/2023,Adult,Small Volume Specialties,ipdc,10,8,0,2,20
2/23/2023,Adult,Urology,ipdc,"5,868","1,334",453,707,"8,362"
2/23/2023,Adult,Vascular Surgery,ipdc,"1,115",289,91,127,"1,622"
2/23/2023,Child,Cardio-Thoracic Surgery,ipdc,70,10,4,0,85
2/23/2023,Child,Clinical Immunology,ipdc,185,122,90,5,402
2/23/2023,Child,Dental Surgery,ipdc,132,55,37,54,278
2/23/2023,Child,General Surgery,ipdc,170,58,20,24,273
2/23/2023,Child,Immunology,ipdc,34,46,25,18,124
2/23/2023,Child,Maxillo-Facial,ipdc,83,39,15,12,150
2/23/2023,Child,Ophthalmology,ipdc,489,155,80,46,771
2/23/2023,Child,Oral Surgery,ipdc,30,32,7,2,72
2/23/2023,Child,Orthopaedics,ipdc,201,125,28,28,382
2/23/2023,Child,Otolaryngology (ENT),ipdc,765,159,12,12,949
2/23/2023,Child,Paed Cardiology,ipdc,185,34,14,8,241
2/23/2023,Child,Paed Endocrinology,ipdc,29,7,2,0,39
2/23/2023,Child,Paed Metabolic Medicine,ipdc,16,7,4,2,30
2/23/2023,Child,Paed Orthopaedic,ipdc,370,183,127,171,851
2/23/2023,Child,Paediatric Dermatology,ipdc,15,6,0,0,21
2/23/2023,Child,Paediatric ENT,ipdc,478,135,33,34,680
2/23/2023,Child,Paediatric Neurology,ipdc,22,9,0,0,31
2/23/2023,Child,Paediatric Neurosurgery,ipdc,22,6,2,2,33
2/23/2023,Child,Paediatric Radiology,ipdc,14,13,10,15,53
2/23/2023,Child,Paediatric Respiratory Medicine,ipdc,420,384,193,370,"1,367"
2/23/2023,Child,Paediatric Surgery,ipdc,439,141,46,31,657
2/23/2023,Child,Paediatric Urology,ipdc,206,79,54,97,436
2/23/2023,Child,Paediatrics,ipdc,102,25,12,14,154
2/23/2023,Child,Plastic Surgery,ipdc,255,83,65,65,468
2/23/2023,Child,Rheumatology,ipdc,35,11,2,2,51
2/23/2023,Child,Small Volume Specialties,ipdc,50,20,6,0,76
2/23/2023,Child,Urology,ipdc,244,56,14,23,338
3/30/2023,Adult,Breast Surgery,op,"2,096",20,0,0,"2,116"
3/30/2023,Adult,Cardio-Thoracic Surgery,op,282,60,14,22,378
3/30/2023,Adult,Cardiology,op,"19,056","9,327","3,928","2,388","34,699"
3/30/2023,Adult,Chemical Pathology,op,45,33,21,6,105
3/30/2023,Adult,Clinical (Medical) Genetics,op,"1,001",812,637,617,"3,067"
3/30/2023,Adult,Clinical Immunology,op,"1,254",657,139,5,"2,055"
3/30/2023,Adult,Clinical Neurophysiology,op,771,513,393,362,"2,039"
3/30/2023,Adult,Dermatology,op,"21,923","9,339","3,310","7,005","41,577"
3/30/2023,Adult,Diabetes Mellitus,op,"1,126",467,204,224,"2,021"
3/30/2023,Adult,Endocrinology,op,"7,535","4,753","2,221","4,442","18,951"
3/30/2023,Adult,Gastro-Enterology,op,"9,566","3,431","1,272","1,136","15,405"
3/30/2023,Adult,Gastro-Intestinal Surgery,op,285,80,25,10,400
3/30/2023,Adult,General Medicine,op,"10,639","5,398","2,425","2,487","20,949"
3/30/2023,Adult,General Surgery,op,"24,621","6,323","2,456","2,154","35,554"
3/30/2023,Adult,Geriatric Medicine,op,"2,976",343,82,116,"3,517"
3/30/2023,Adult,Gynaecology,op,"20,260","5,252","1,195","1,342","28,049"
3/30/2023,Adult,Haematology,op,"5,023","2,057",918,"1,196","9,194"
3/30/2023,Adult,Hepato-Biliary Surgery,op,62,29,10,2,103
3/30/2023,Adult,Infectious Diseases,op,"1,334",83,4,2,"1,423"
3/30/2023,Adult,Maxillo-Facial,op,"1,009",439,316,"1,036","2,800"
3/30/2023,Adult,Metabolic Medicine,op,103,37,10,10,160
3/30/2023,Adult,Microbiology,op,30,0,0,0,30
3/30/2023,Adult,Nephrology,op,"2,291",546,232,367,"3,436"
3/30/2023,Adult,Neurology,op,"9,507","5,046","2,770","5,915","23,238"
3/30/2023,Adult,Neurosurgery,op,"3,616","2,062","1,237","2,377","9,292"
3/30/2023,Adult,Oncology,op,637,4,2,0,643
3/30/2023,Adult,Ophthalmology,op,"15,986","6,598","3,579","7,386","33,549"
3/30/2023,Adult,Oral Surgery,op,533,331,215,"1,232","2,311"
3/30/2023,Adult,Orthopaedics,op,"31,307","18,568","7,174","7,788","64,837"
3/30/2023,Adult,Otolaryngology (ENT),op,"18,869","9,630","4,316","8,294","41,109"
3/30/2023,Adult,Paediatric Dermatology,op,38,14,2,0,54
3/30/2023,Adult,Paediatric Neurology,op,11,7,4,0,22
3/30/2023,Adult,Paediatrics,op,101,70,32,5,208
3/30/2023,Adult,Pain Relief,op,"5,218","3,301","1,838","4,112","14,469"
3/30/2023,Adult,Pathology,op,55,50,33,51,189
3/30/2023,Adult,Plastic Surgery,op,"7,271","3,299","1,632","4,402","16,604"
3/30/2023,Adult,Psychiatry,op,498,44,4,2,548
3/30/2023,Adult,Radiology,op,82,148,7,2,239
3/30/2023,Adult,Radiotherapy,op,41,0,0,0,41
3/30/2023,Adult,Respiratory Medicine,op,"11,131","4,711","1,856","2,619","20,317"
3/30/2023,Adult,Rheumatology,op,"7,160","3,271","1,526","2,664","14,621"
3/30/2023,Adult,Small Volume Specialities,op,87,25,22,2,135
3/30/2023,Adult,Urology,op,"12,204","5,609","2,378","4,367","24,558"
3/30/2023,Adult,Vascular Surgery,op,"6,419","3,442","1,474","2,579","13,914"
3/30/2023,Child,Cardio-Thoracic Surgery,op,42,2,4,2,50
3/30/2023,Child,Cardiology,op,34,10,2,15,61
3/30/2023,Child,Clinical (Medical) Genetics,op,447,361,288,203,"1,299"
3/30/2023,Child,Clinical Immunology,op,380,134,62,248,824
3/30/2023,Child,Dental Surgery,op,202,93,48,105,448
3/30/2023,Child,Dermatology,op,"1,402",532,304,695,"2,933"
3/30/2023,Child,Developmental Paediatrics,op,286,268,169,305,"1,028"
3/30/2023,Child,Endocrinology,op,20,4,0,0,24
3/30/2023,Child,Gastro-Enterology,op,19,4,4,0,27
3/30/2023,Child,General Medicine,op,29,4,2,2,37
3/30/2023,Child,General Surgery,op,887,367,181,163,"1,598"
3/30/2023,Child,Gynaecology,op,479,140,69,2,690
3/30/2023,Child,Haematology,op,76,9,2,2,89
3/30/2023,Child,Immunology,op,235,68,14,30,347
3/30/2023,Child,Maxillo-Facial,op,77,37,31,51,196
3/30/2023,Child,Neurology,op,35,4,4,2,45
3/30/2023,Child,Ophthalmology,op,"2,257",812,330,725,"4,124"
3/30/2023,Child,Oral Surgery,op,123,58,19,32,232
3/30/2023,Child,Orthopaedics,op,"1,490",708,253,409,"2,860"
3/30/2023,Child,Otolaryngology (ENT),op,"5,167","2,177","1,133",994,"9,471"
3/30/2023,Child,Paed Cardiology,op,"2,216","1,150",703,73,"4,142"
3/30/2023,Child,Paed Endocrinology,op,506,204,49,51,810
3/30/2023,Child,Paed Gastro-Enterol,op,533,140,93,31,797
3/30/2023,Child,Paed Haematology,op,193,41,4,0,238
3/30/2023,Child,Paed Metabolic Medicine,op,44,2,2,0,48
3/30/2023,Child,Paed Nephrology,op,267,133,21,8,429
3/30/2023,Child,Paed Orthopaedic,op,"1,669","1,104",474,628,"3,875"
3/30/2023,Child,Paediatric Dermatology,op,"2,467","1,710",805,"1,768","6,750"
3/30/2023,Child,Paediatric ENT,op,"3,433","1,452",654,"1,527","7,066"
3/30/2023,Child,Paediatric Infectious Diseases,op,51,11,4,2,68
3/30/2023,Child,Paediatric Neurology,op,958,293,41,5,"1,297"
3/30/2023,Child,Paediatric Neurosurgery,op,38,4,2,0,44
3/30/2023,Child,Paediatric Respiratory Medicine,op,748,384,288,585,"2,005"
3/30/2023,Child,Paediatric Surgery,op,"2,400","1,608",654,56,"4,718"
3/30/2023,Child,Paediatric Urology,op,493,305,220,78,"1,096"
3/30/2023,Child,Paediatrics,op,"13,938","5,304","1,634",252,"21,128"
3/30/2023,Child,Pain Relief,op,16,12,2,2,32
3/30/2023,Child,Plastic Surgery,op,748,370,211,268,"1,597"
3/30/2023,Child,Rheumatology,op,297,202,168,611,"1,278"
3/30/2023,Child,Small Volume Specialities,op,64,16,4,2,86
3/30/2023,Child,Urology,op,926,523,212,364,"2,025"
3/30/2023,Child,Vascular Surgery,op,13,4,2,2,21
3/30/2023,Adult,Anaesthetics,ipdc,49,0,0,0,49
3/30/2023,Adult,Breast Surgery,ipdc,109,53,25,41,228
3/30/2023,Adult,Cardio-Thoracic Surgery,ipdc,243,58,15,24,340
3/30/2023,Adult,Cardiology,ipdc,"2,713",646,71,100,"3,530"
3/30/2023,Adult,Clinical Immunology,ipdc,185,97,23,2,307
3/30/2023,Adult,Dental Surgery,ipdc,50,4,2,4,60
3/30/2023,Adult,Dermatology,ipdc,698,126,62,23,909
