ArchiveDate,Adult_Child,HospitalName,0_6_months,6_12_months,12_18_months,18_plus_months,wait_total,care_type,County,Province
1/26/2023,Child,South Infirmary Victoria University Hospital,1403,570,158,214,2344,op,Cork,Munster
1/26/2023,Child,St. Luke's General Hospital Kilkenny,423,19,4,2,447,op,Kilkenny,Leinster
1/26/2023,Child,Tallaght University Hospital,12,6,4,0,22,op,Dublin,Leinster
1/26/2023,Child,Tipperary University Hospital,347,103,43,2,494,op,Tipperary,Munster
1/26/2023,Child,University Hospital Kerry,532,231,93,163,1020,op,Kerry,Munster
1/26/2023,Child,University Hospital Limerick,2167,847,378,669,4060,op,Limerick,Munster
1/26/2023,Child,University Hospital Waterford,1675,684,340,415,3113,op,Waterford,Munster
1/26/2023,Child,Wexford General Hospital,530,263,0,0,792,op,Wexford,Leinster
1/26/2023,Adult,Bantry General Hospital,59,41,21,5,126,ipdc,Cork,Munster
1/26/2023,Adult,Beaumont Hospital,"3,998","1,515",228,29,"5,771",ipdc,Dublin,Leinster
1/26/2023,Adult,Cavan General Hospital,406,11,0,0,417,ipdc,Cavan,Ulster
1/26/2023,Adult,Connolly Hospital Blanchardstown,"1,068",133,8,0,"1,209",ipdc,Dublin,Leinster
1/26/2023,Adult,Coombe Women and Infants University Hospital,138,41,8,2,189,ipdc,Dublin,Leinster
1/26/2023,Adult,Cork University Hospital,830,279,145,247,"1,502",ipdc,Cork,Munster
1/26/2023,Adult,Cork University Maternity Hospital,382,87,18,34,521,ipdc,Cork,Munster
1/26/2023,Adult,Croom Orthopaedic Hospital,242,2,0,0,244,ipdc,Limerick,Munster
1/26/2023,Adult,Ennis Hospital,318,30,4,2,354,ipdc,Clare,Munster
1/26/2023,Adult,Galway University Hospitals,"4,626","2,404",795,"1,917","9,743",ipdc,Galway,Connacht
1/26/2023,Adult,Kilcreene Regional Orthopaedic Hospital,483,49,4,0,536,ipdc,Kilkenny,Leinster
1/26/2023,Adult,Letterkenny University Hospital,"1,495",334,198,344,"2,371",ipdc,Donegal,Ulster
1/26/2023,Adult,Louth County Hospital,391,11,2,0,404,ipdc,Louth,Leinster
1/26/2023,Adult,Mallow General Hospital,206,19,6,0,231,ipdc,Cork,Munster
1/26/2023,Adult,Mater Misericordiae University Hospital,"3,503",984,527,948,"5,963",ipdc,Dublin,Leinster
1/26/2023,Adult,Mayo University Hospital,521,129,40,91,781,ipdc,Mayo,Connacht
1/26/2023,Adult,Mercy University Hospital,475,156,72,49,753,ipdc,Cork,Munster
1/26/2023,Adult,Midland Regional Hospital Mullingar,437,148,64,27,676,ipdc,Westmeath,Leinster
1/26/2023,Adult,Midland Regional Hospital Portlaoise,183,88,20,28,319,ipdc,Laois,Leinster
1/26/2023,Adult,Midland Regional Hospital Tullamore,954,375,49,80,"1,458",ipdc,Offaly,Leinster
1/26/2023,Adult,Naas General Hospital,160,75,2,2,239,ipdc,Kildare,Leinster
1/26/2023,Adult,National Orthopaedic Hospital Cappagh,"1,479",380,56,22,"1,937",ipdc,Dublin,Leinster
1/26/2023,Adult,Nenagh Hospital,615,24,0,0,639,ipdc,Tipperary,Munster
1/26/2023,Adult,Our Lady of Lourdes Hospital Drogheda,532,134,0,0,666,ipdc,Louth,Leinster
1/26/2023,Adult,Our Lady's Hospital Navan,896,88,8,0,992,ipdc,Meath,Leinster
1/26/2023,Adult,Portiuncula University Hospital,443,141,49,4,638,ipdc,Galway,Connacht
1/26/2023,Adult,Roscommon University Hospital,463,159,56,65,743,ipdc,Roscommon,Connacht
1/26/2023,Adult,Royal Victoria Eye and Ear Hospital,"1,919",630,75,42,"2,666",ipdc,Dublin,Leinster
1/26/2023,Adult,Sligo University Hospital,"1,864",847,301,332,"3,344",ipdc,Sligo,Connacht
1/26/2023,Adult,South Infirmary Victoria University Hospital,"2,215",908,277,275,"3,676",ipdc,Cork,Munster
1/26/2023,Adult,St. Columcille's Hospital,396,133,14,53,596,ipdc,Dublin,Leinster
1/26/2023,Adult,St. James's Hospital,"3,155","1,190",526,"1,124","5,996",ipdc,Dublin,Leinster
1/26/2023,Adult,St. John's Hospital Limerick,702,108,0,0,810,ipdc,Limerick,Munster
1/26/2023,Adult,St. Luke's General Hospital Kilkenny,530,217,69,41,857,ipdc,Kilkenny,Leinster
1/26/2023,Adult,St. Michael's Hospital,"1,007",222,29,8,"1,266",ipdc,Dublin,Leinster
1/26/2023,Adult,St. Vincent's University Hospital,"2,563",621,204,418,"3,807",ipdc,Dublin,Leinster
1/26/2023,Adult,Tallaght University Hospital,"2,033",365,120,135,"2,654",ipdc,Dublin,Leinster
1/26/2023,Adult,Tipperary University Hospital,259,38,4,0,301,ipdc,Tipperary,Munster
1/26/2023,Adult,University Hospital Kerry,252,52,2,0,306,ipdc,Kerry,Munster
1/26/2023,Adult,University Hospital Limerick,"1,801",757,23,2,"2,584",ipdc,Limerick,Munster
1/26/2023,Adult,University Hospital Waterford,"3,148","1,059",447,893,"5,548",ipdc,Waterford,Munster
1/26/2023,Adult,Wexford General Hospital,521,202,134,36,893,ipdc,Wexford,Leinster
1/26/2023,Child,Beaumont Hospital,29,6,2,0,36,ipdc,Dublin,Leinster
1/26/2023,Child,Children's Health Ireland,"3,131","1,495",732,880,"6,238",ipdc,Dublin,Leinster
1/26/2023,Child,Cork University Hospital,95,25,9,16,145,ipdc,Cork,Munster
1/26/2023,Child,Ennis Hospital,28,0,0,0,28,ipdc,Clare,Munster
1/26/2023,Child,Galway University Hospitals,227,96,44,72,439,ipdc,Galway,Connacht
1/26/2023,Child,Letterkenny University Hospital,39,22,13,15,88,ipdc,Donegal,Ulster
1/26/2023,Child,Mercy University Hospital,60,10,5,0,75,ipdc,Cork,Munster
1/26/2023,Child,Midland Regional Hospital Mullingar,30,14,0,0,44,ipdc,Westmeath,Leinster
1/26/2023,Child,Midland Regional Hospital Tullamore,124,44,2,0,170,ipdc,Offaly,Leinster
1/26/2023,Child,National Orthopaedic Hospital Cappagh,135,109,15,15,274,ipdc,Dublin,Leinster
1/26/2023,Child,Nenagh Hospital,27,2,0,0,29,ipdc,Tipperary,Munster
1/26/2023,Child,Our Lady of Lourdes Hospital Drogheda,49,8,2,0,59,ipdc,Louth,Leinster
1/26/2023,Child,Portiuncula University Hospital,38,8,2,0,47,ipdc,Galway,Connacht
1/26/2023,Child,Royal Victoria Eye and Ear Hospital,91,17,2,2,112,ipdc,Dublin,Leinster
1/26/2023,Child,Sligo University Hospital,199,41,8,13,259,ipdc,Sligo,Connacht
1/26/2023,Child,Small Volume Hospitals,50,13,2,2,67,ipdc,N/A,N/A
1/26/2023,Child,South Infirmary Victoria University Hospital,144,30,4,2,180,ipdc,Cork,Munster
1/26/2023,Child,University Hospital Kerry,28,6,0,0,33,ipdc,Kerry,Munster
1/26/2023,Child,University Hospital Limerick,210,33,2,0,244,ipdc,Limerick,Munster
1/26/2023,Child,University Hospital Waterford,119,37,17,8,181,ipdc,Waterford,Munster
2/23/2023,Adult,Bantry General Hospital,625,162,74,2,863,op,Cork,Munster
2/23/2023,Adult,Beaumont Hospital,21660,7881,577,15,30133,op,Dublin,Leinster
2/23/2023,Adult,Cavan General Hospital,4477,2874,372,2,7725,op,Cavan,Ulster
2/23/2023,Adult,Connolly Hospital Blanchardstown,4282,583,21,0,4886,op,Dublin,Leinster
2/23/2023,Adult,Coombe Women and Infants University Hospital,1860,803,278,324,3265,op,Dublin,Leinster
2/23/2023,Adult,Cork University Hospital,13253,6311,4561,7610,31734,op,Cork,Munster
2/23/2023,Adult,Cork University Maternity Hospital,1789,233,34,17,2073,op,Cork,Munster
2/23/2023,Adult,Croom Orthopaedic Hospital,2116,1138,440,610,4304,op,Limerick,Munster
2/23/2023,Adult,Ennis Hospital,466,307,74,15,862,op,Clare,Munster
2/23/2023,Adult,Galway University Hospitals,18760,10017,6723,13740,49240,op,Galway,Connacht
2/23/2023,Adult,Letterkenny University Hospital,7479,2809,1507,3560,15354,op,Donegal,Ulster
2/23/2023,Adult,Louth County Hospital,1978,925,228,96,3227,op,Louth,Leinster
2/23/2023,Adult,Mallow General Hospital,2101,736,234,213,3284,op,Cork,Munster
2/23/2023,Adult,Mater Misericordiae University Hospital,20836,6664,2876,7926,38301,op,Dublin,Leinster
2/23/2023,Adult,Mayo University Hospital,4264,1946,733,1894,8837,op,Mayo,Connacht
2/23/2023,Adult,Mercy University Hospital,2719,1185,603,1678,6184,op,Cork,Munster
2/23/2023,Adult,Midland Regional Hospital Mullingar,4053,2493,1342,1347,9235,op,Westmeath,Leinster
2/23/2023,Adult,Midland Regional Hospital Portlaoise,2142,1193,723,562,4620,op,Laois,Leinster
2/23/2023,Adult,Midland Regional Hospital Tullamore,7256,3663,1089,473,12481,op,Offaly,Leinster
2/23/2023,Adult,Naas General Hospital,5422,2108,912,576,9018,op,Kildare,Leinster
2/23/2023,Adult,National Maternity Hospital (Holles Street),2122,177,21,2,2322,op,Dublin,Leinster
2/23/2023,Adult,National Orthopaedic Hospital Cappagh,2675,1066,96,34,3871,op,Dublin,Leinster
2/23/2023,Adult,Nenagh Hospital,328,200,63,27,618,op,Tipperary,Munster
2/23/2023,Adult,Our Lady of Lourdes Hospital Drogheda,6828,3884,860,151,11722,op,Louth,Leinster
2/23/2023,Adult,Our Lady's Hospital Navan,3070,1239,544,1130,5983,op,Meath,Leinster
2/23/2023,Adult,Portiuncula University Hospital,1945,624,296,538,3403,op,Galway,Connacht
2/23/2023,Adult,Roscommon University Hospital,2983,1400,656,1357,6396,op,Roscommon,Connacht
2/23/2023,Adult,Rotunda Hospital,2541,198,4,2,2745,op,Dublin,Leinster
2/23/2023,Adult,Royal Victoria Eye and Ear Hospital,4883,2865,1671,3596,13015,op,Dublin,Leinster
2/23/2023,Adult,Sligo University Hospital,7519,3548,1909,2529,15505,op,Sligo,Connacht
2/23/2023,Adult,South Infirmary Victoria University Hospital,9537,4750,2714,5849,22850,op,Cork,Munster
2/23/2023,Adult,St. Columcille's Hospital,2199,1937,1224,2525,7884,op,Dublin,Leinster
2/23/2023,Adult,St. James's Hospital,15055,4445,1918,2036,23453,op,Dublin,Leinster
2/23/2023,Adult,St. John's Hospital Limerick,559,305,244,285,1393,op,Limerick,Munster
2/23/2023,Adult,St. Luke's General Hospital Kilkenny,3089,1146,160,16,4411,op,Kilkenny,Leinster
2/23/2023,Adult,St. Michael's Hospital,2742,756,188,169,3855,op,Dublin,Leinster
2/23/2023,Adult,St. Vincent's University Hospital,16994,4829,1255,1008,24085,op,Dublin,Leinster
2/23/2023,Adult,Tallaght University Hospital,12179,9688,5731,9079,36677,op,Dublin,Leinster
2/23/2023,Adult,Tipperary University Hospital,2082,777,312,199,3370,op,Tipperary,Munster
2/23/2023,Adult,University Hospital Kerry,5234,1724,835,362,8155,op,Kerry,Munster
2/23/2023,Adult,University Hospital Limerick,13321,6194,3870,5121,28506,op,Limerick,Munster
2/23/2023,Adult,University Hospital Waterford,15122,7720,3681,5159,31682,op,Waterford,Munster
2/23/2023,Adult,Wexford General Hospital,2703,758,139,2,3602,op,Wexford,Leinster
2/23/2023,Child,Beaumont Hospital,67,26,2,0,95,op,Dublin,Leinster
2/23/2023,Child,Cavan General Hospital,1081,263,28,0,1371,op,Cavan,Ulster
2/23/2023,Child,Children's Health Ireland,20076,10894,5289,7349,43607,op,Dublin,Leinster
2/23/2023,Child,Coombe Women and Infants University Hospital,29,5,0,0,34,op,Dublin,Leinster
2/23/2023,Child,Cork University Hospital,2944,1378,536,611,5470,op,Cork,Munster
2/23/2023,Child,Cork University Maternity Hospital,46,2,0,0,48,op,Cork,Munster
2/23/2023,Child,Croom Orthopaedic Hospital,133,22,7,10,172,op,Limerick,Munster
2/23/2023,Child,Ennis Hospital,36,4,2,0,41,op,Clare,Munster
2/23/2023,Child,Galway University Hospitals,2965,1492,814,1096,6367,op,Galway,Connacht
2/23/2023,Child,Letterkenny University Hospital,1000,283,200,383,1865,op,Donegal,Ulster
2/23/2023,Child,Mallow General Hospital,187,24,4,2,216,op,Cork,Munster
2/23/2023,Child,Mayo University Hospital,684,224,103,192,1202,op,Mayo,Connacht
2/23/2023,Child,Mercy University Hospital,294,61,37,15,406,op,Cork,Munster
2/23/2023,Child,Midland Regional Hospital Mullingar,796,304,175,160,1434,op,Westmeath,Leinster
2/23/2023,Child,Midland Regional Hospital Portlaoise,675,303,102,15,1093,op,Laois,Leinster
2/23/2023,Child,Midland Regional Hospital Tullamore,843,433,196,86,1558,op,Offaly,Leinster
2/23/2023,Child,National Maternity Hospital (Holles Street),61,13,0,0,74,op,Dublin,Leinster
2/23/2023,Child,National Orthopaedic Hospital Cappagh,252,88,8,2,350,op,Dublin,Leinster
2/23/2023,Child,Our Lady of Lourdes Hospital Drogheda,1975,1288,381,121,3765,op,Louth,Leinster
2/23/2023,Child,Portiuncula University Hospital,498,32,22,33,584,op,Galway,Connacht
2/23/2023,Child,Rotunda Hospital,32,2,0,0,34,op,Dublin,Leinster
2/23/2023,Child,Royal Victoria Eye and Ear Hospital,267,121,81,131,600,op,Dublin,Leinster
2/23/2023,Child,Sligo University Hospital,1191,536,113,113,1954,op,Sligo,Connacht
2/23/2023,Child,Small Volume Hospitals,27,9,0,2,38,op,N/A,N/A
2/23/2023,Child,South Infirmary Victoria University Hospital,1464,533,203,219,2418,op,Cork,Munster
2/23/2023,Child,St. Luke's General Hospital Kilkenny,432,14,4,2,452,op,Kilkenny,Leinster
2/23/2023,Child,Tallaght University Hospital,20,6,4,0,29,op,Dublin,Leinster
2/23/2023,Child,Tipperary University Hospital,385,84,33,2,503,op,Tipperary,Munster
2/23/2023,Child,University Hospital Kerry,588,228,86,171,1071,op,Kerry,Munster
2/23/2023,Child,University Hospital Limerick,2397,824,378,497,4096,op,Limerick,Munster
2/23/2023,Child,University Hospital Waterford,1831,657,359,337,3183,op,Waterford,Munster
2/23/2023,Child,Wexford General Hospital,557,285,2,0,843,op,Wexford,Leinster
2/23/2023,Adult,Bantry General Hospital,50,45,26,7,128,ipdc,Cork,Munster
2/23/2023,Adult,Beaumont Hospital,"3,981","1,635",383,86,"6,086",ipdc,Dublin,Leinster
2/23/2023,Adult,Cavan General Hospital,373,7,0,0,380,ipdc,Cavan,Ulster
2/23/2023,Adult,Connolly Hospital Blanchardstown,915,144,11,0,"1,070",ipdc,Dublin,Leinster
2/23/2023,Adult,Coombe Women and Infants University Hospital,137,30,6,0,173,ipdc,Dublin,Leinster
2/23/2023,Adult,Cork University Hospital,774,273,174,254,"1,475",ipdc,Cork,Munster
2/23/2023,Adult,Cork University Maternity Hospital,398,83,19,22,522,ipdc,Cork,Munster
2/23/2023,Adult,Croom Orthopaedic Hospital,306,0,0,0,306,ipdc,Limerick,Munster
2/23/2023,Adult,Ennis Hospital,311,50,0,0,361,ipdc,Clare,Munster
2/23/2023,Adult,Galway University Hospitals,"4,557","2,451",855,"1,931","9,794",ipdc,Galway,Connacht
2/23/2023,Adult,Kilcreene Regional Orthopaedic Hospital,531,45,2,0,578,ipdc,Kilkenny,Leinster
2/23/2023,Adult,Letterkenny University Hospital,"1,423",409,193,355,"2,381",ipdc,Donegal,Ulster
2/23/2023,Adult,Louth County Hospital,370,10,0,0,380,ipdc,Louth,Leinster
2/23/2023,Adult,Mallow General Hospital,234,25,8,2,270,ipdc,Cork,Munster
2/23/2023,Adult,Mater Misericordiae University Hospital,"3,542",898,496,971,"5,907",ipdc,Dublin,Leinster
2/23/2023,Adult,Mayo University Hospital,531,122,57,77,788,ipdc,Mayo,Connacht
2/23/2023,Adult,Mercy University Hospital,522,164,67,49,803,ipdc,Cork,Munster
2/23/2023,Adult,Midland Regional Hospital Mullingar,451,163,85,35,735,ipdc,Westmeath,Leinster
2/23/2023,Adult,Midland Regional Hospital Portlaoise,149,92,20,9,271,ipdc,Laois,Leinster
2/23/2023,Adult,Midland Regional Hospital Tullamore,959,422,50,64,"1,495",ipdc,Offaly,Leinster
2/23/2023,Adult,Naas General Hospital,137,57,2,2,198,ipdc,Kildare,Leinster
2/23/2023,Adult,National Orthopaedic Hospital Cappagh,"1,421",328,58,26,"1,833",ipdc,Dublin,Leinster
2/23/2023,Adult,Nenagh Hospital,623,12,0,0,635,ipdc,Tipperary,Munster
2/23/2023,Adult,Our Lady of Lourdes Hospital Drogheda,512,148,2,0,662,ipdc,Louth,Leinster
2/23/2023,Adult,Our Lady's Hospital Navan,735,67,6,4,813,ipdc,Meath,Leinster
2/23/2023,Adult,Portiuncula University Hospital,447,126,53,2,629,ipdc,Galway,Connacht
2/23/2023,Adult,Roscommon University Hospital,432,171,73,60,736,ipdc,Roscommon,Connacht
2/23/2023,Adult,Royal Victoria Eye and Ear Hospital,"1,863",685,88,40,"2,676",ipdc,Dublin,Leinster
2/23/2023,Adult,Sligo University Hospital,"1,843",792,297,332,"3,264",ipdc,Sligo,Connacht
2/23/2023,Adult,South Infirmary Victoria University Hospital,"2,320",814,297,274,"3,706",ipdc,Cork,Munster
2/23/2023,Adult,St. Columcille's Hospital,458,124,28,50,661,ipdc,Dublin,Leinster
2/23/2023,Adult,St. James's Hospital,"3,297","1,214",560,"1,085","6,157",ipdc,Dublin,Leinster
2/23/2023,Adult,St. John's Hospital Limerick,676,110,2,0,789,ipdc,Limerick,Munster
2/23/2023,Adult,St. Luke's General Hospital Kilkenny,508,213,56,23,800,ipdc,Kilkenny,Leinster
2/23/2023,Adult,St. Michael's Hospital,868,194,30,19,"1,112",ipdc,Dublin,Leinster
2/23/2023,Adult,St. Vincent's University Hospital,"2,568",625,239,437,"3,870",ipdc,Dublin,Leinster
2/23/2023,Adult,Tallaght University Hospital,"1,943",346,140,126,"2,555",ipdc,Dublin,Leinster
2/23/2023,Adult,Tipperary University Hospital,249,26,2,0,277,ipdc,Tipperary,Munster
2/23/2023,Adult,University Hospital Kerry,257,50,2,0,310,ipdc,Kerry,Munster
2/23/2023,Adult,University Hospital Limerick,"1,623",686,64,8,"2,381",ipdc,Limerick,Munster
2/23/2023,Adult,University Hospital Waterford,"3,405","1,039",512,904,"5,861",ipdc,Waterford,Munster
2/23/2023,Adult,Wexford General Hospital,521,186,125,52,884,ipdc,Wexford,Leinster
2/23/2023,Child,Beaumont Hospital,29,11,4,0,44,ipdc,Dublin,Leinster
2/23/2023,Child,Children's Health Ireland,"3,314","1,476",792,881,"6,463",ipdc,Dublin,Leinster
2/23/2023,Child,Cork University Hospital,101,24,14,17,157,ipdc,Cork,Munster
2/23/2023,Child,Ennis Hospital,26,2,0,0,28,ipdc,Clare,Munster
2/23/2023,Child,Galway University Hospitals,248,84,37,75,445,ipdc,Galway,Connacht
2/23/2023,Child,Letterkenny University Hospital,38,20,12,14,85,ipdc,Donegal,Ulster
2/23/2023,Child,Mercy University Hospital,55,6,7,0,68,ipdc,Cork,Munster
2/23/2023,Child,Midland Regional Hospital Mullingar,17,12,2,0,31,ipdc,Westmeath,Leinster
2/23/2023,Child,Midland Regional Hospital Tullamore,133,52,0,0,185,ipdc,Offaly,Leinster
2/23/2023,Child,National Orthopaedic Hospital Cappagh,129,100,19,15,263,ipdc,Dublin,Leinster
2/23/2023,Child,Our Lady of Lourdes Hospital Drogheda,39,8,0,0,47,ipdc,Louth,Leinster
2/23/2023,Child,Portiuncula University Hospital,39,8,2,0,49,ipdc,Galway,Connacht
2/23/2023,Child,Royal Victoria Eye and Ear Hospital,83,11,4,2,100,ipdc,Dublin,Leinster
2/23/2023,Child,Sligo University Hospital,189,39,8,8,245,ipdc,Sligo,Connacht
2/23/2023,Child,Small Volume Hospitals,58,15,2,2,77,ipdc,N/A,N/A
2/23/2023,Child,South Infirmary Victoria University Hospital,166,27,6,2,202,ipdc,Cork,Munster
2/23/2023,Child,University Hospital Kerry,21,8,0,0,29,ipdc,Kerry,Munster
2/23/2023,Child,University Hospital Limerick,246,46,4,2,299,ipdc,Limerick,Munster
2/23/2023,Child,University Hospital Waterford,133,35,14,8,191,ipdc,Waterford,Munster
3/30/2023,Adult,Bantry General Hospital,642,173,57,6,877,op,Cork,Munster
3/30/2023,Adult,Beaumont Hospital,22265,8392,804,6,31466,op,Dublin,Leinster
3/30/2023,Adult,Cavan General Hospital,4475,2959,533,0,7966,op,Cavan,Ulster
3/30/2023,Adult,Connolly Hospital Blanchardstown,3998,555,43,4,4600,op,Dublin,Leinster
3/30/2023,Adult,Coombe Women and Infants University Hospital,1866,661,275,272,3074,op,Dublin,Leinster
3/30/2023,Adult,Cork University Hospital,13250,6422,4480,7757,31909,op,Cork,Munster
3/30/2023,Adult,Cork University Maternity Hospital,1873,172,25,6,2076,op,Cork,Munster
3/30/2023,Adult,Croom Orthopaedic Hospital,2307,1119,377,606,4409,op,Limerick,Munster
3/30/2023,Adult,Ennis Hospital,495,364,87,12,958,op,Clare,Munster
3/30/2023,Adult,Galway University Hospitals,19670,9978,5817,13265,48729,op,Galway,Connacht
3/30/2023,Adult,Letterkenny University Hospital,7178,2739,1466,3615,14997,op,Donegal,Ulster
3/30/2023,Adult,Louth County Hospital,1905,1008,249,25,3187,op,Louth,Leinster
3/30/2023,Adult,Mallow General Hospital,2108,822,222,197,3349,op,Cork,Munster
3/30/2023,Adult,Mater Misericordiae University Hospital,20839,6970,2809,7957,38575,op,Dublin,Leinster
3/30/2023,Adult,Mayo University Hospital,4227,1800,755,1733,8515,op,Mayo,Connacht
3/30/2023,Adult,Mercy University Hospital,2750,1188,608,1714,6259,op,Cork,Munster
